,strike,lastPrice,volume,impliedVolatility,maturity,type
43,575.0,0.83,48895.0,0.015634843750000002,2,call
44,576.0,0.52,39806.0,0.015634843750000002,2,call
45,577.0,0.29,20646.0,0.0312596875,2,call
46,578.0,0.14,16175.0,0.0312596875,2,call
47,579.0,0.06,11223.0,0.0312596875,2,call
48,580.0,0.02,16124.0,0.062509375,2,call
49,581.0,0.02,5430.0,0.062509375,2,call
50,582.0,0.01,2273.0,0.062509375,2,call
51,583.0,0.01,14015.0,0.062509375,2,call
52,584.0,0.01,1408.0,0.062509375,2,call
54,586.0,0.01,754.0,0.12500875,2,call
37,576.0,1.0,6869.0,0.015634843750000002,5,call
38,577.0,0.66,6169.0,0.015634843750000002,5,call
39,578.0,0.42,7797.0,0.0312596875,5,call
40,579.0,0.26,4492.0,0.0312596875,5,call
41,580.0,0.15,5492.0,0.0312596875,5,call
42,581.0,0.08,1616.0,0.0312596875,5,call
43,582.0,0.04,1211.0,0.062509375,5,call
44,583.0,0.02,804.0,0.062509375,5,call
46,585.0,0.02,718.0,0.062509375,5,call
50,589.0,0.01,384.0,0.062509375,5,call
40,576.0,1.49,3048.0,0.015634843750000002,6,call
41,577.0,1.12,3428.0,0.015634843750000002,6,call
42,578.0,0.79,2001.0,0.015634843750000002,6,call
43,579.0,0.54,1501.0,0.0312596875,6,call
44,580.0,0.37,3983.0,0.0312596875,6,call
45,581.0,0.23,850.0,0.0312596875,6,call
46,582.0,0.14,532.0,0.0312596875,6,call
47,583.0,0.07,798.0,0.0312596875,6,call
48,584.0,0.04,410.0,0.062509375,6,call
49,585.0,0.03,487.0,0.062509375,6,call
50,586.0,0.03,994.0,0.062509375,6,call
51,587.0,0.02,312.0,0.062509375,6,call
71,577.0,2.26,4527.0,0.015634843750000002,7,call
72,578.0,1.87,6142.0,0.015634843750000002,7,call
73,579.0,1.54,5527.0,0.015634843750000002,7,call
74,580.0,1.19,11075.0,0.0312596875,7,call
75,581.0,0.91,9283.0,0.0312596875,7,call
76,582.0,0.7,3374.0,0.0312596875,7,call
77,583.0,0.5,3371.0,0.0312596875,7,call
78,584.0,0.37,4031.0,0.0312596875,7,call
79,585.0,0.24,3234.0,0.0312596875,7,call
